iter	Logloss
0	0.56808653
1	0.4748885958
2	0.4317392825
3	3	0.400136993444	0.371810246
5	0.3511868327
66	0.327809752477	0.31514121418	0.3171366947
9	0.3069613923
10	0.2984139727
11	0.2924654558
12	0.2859175508
113	0.2789279501114	0.2748887258115	0.2713385561616	0.26915980017	0.2644359302
18	0.2618159478
19	0.2599836642
20	0.2584196692
21	0.2576502851
22	0.2546551831
223	0.2235626024224	0.2224619582525	0.2204759522626	0.2194630582727	0.2180734482828	0.215618237229	0.2136796833330	0.2117606532331	0.2098357158
32	0.208637804
33	0.2074164774
34	0.2055788489
35	0.2050791153
36	0.2037942667
37	0.2025878898338	0.2009668187339	0.1993385998440	0.1983579391441	0.1972712992442	0.1960433049443	0.1953708823444	0.1940291976445	0.192669282346	0.2168763315
47	0.2151582317
48	0.2135085803
49	0.2124731106
50	0.2111252566
551	0.1852399159552	0.1838264113553	0.183223736
54	0.2054228528
55	0.2041622665
56	0.2025782746
57	0.2018999952
58	0.2005871969
59	0.1998352936
60	0.1987833037
61	0.1972205171
62	0.1963259354
63	0.1946820317
64	0.1939339342
65	0.1928238758
66	0.1920112907
67	0.191109115
68	0.1901153567
69	0.1889989269
70	0.1872339911
71	0.1862722545
72	0.1854738429
73	0.1842045476
74	0.1835166795
75	0.1824717279
76	0.1811003367
77	0.180010883
78	0.1794820136
79	0.1790694552
80	0.1778179919
81	0.1771237941
82	0.1761766663
83	0.1748672027
84	0.174167258
85	0.1733621183
86	0.1727301869
87	0.1722134916
88	0.1712849669
89	0.1700946773
90	0.1693041443
91	0.16815802
92	0.1672259415
93	0.1665130354
94	0.1660111407
95	0.1651370053
96	0.1644483682
97	0.1633100486
98	0.1627568994
99	0.1619069956
100	0.1613128691
101	0.1601265599
102	0.1592629551
103	0.1584498994
104	0.1576579507
105	0.1568401857
106	0.1561909039
107	0.1557122268
108	0.1549754019
109	0.153725824
110	0.1531216577
111	0.1526028844
112	0.1518366936
113	0.1513917789
114	0.1507435482
115	0.1503213406
116	0.1497391999
117	0.1493320633
118	0.1481704702
119	0.1475553113
120	0.1468602153
121	0.1463146505
122	0.1458089733
123	0.1453029249
124	0.144451219
125	0.1434500655
126	0.1425428246
127	0.1417453934
128	0.141220733
129	0.1405411575
130	0.140053235
131	0.1393337299
132	0.1389519743
133	0.1382479757
134	0.1378010946
135	0.1373419987
136	0.1366824645
137	0.1360532217
138	0.1356448442
139	0.1345580658
140	0.1337347086
141	0.1331760392
142	0.1327663543
143	0.1324351596
144	0.1316119101
145	0.130941829
146	0.1303144218
147	0.129777435
148	0.1290082183
149	0.1283743601
150	0.1276128142
151	0.126972082
152	0.126509999
153	0.1260513709
154	0.1256080528
155	0.1251978692
156	0.124909241
157	0.1244289897
158	0.1239438367
159	0.1229209589
160	0.1220439041
161	0.1214848083
162	0.120922683
163	0.1205280775
164	0.1198099578
165	0.1191737472
166	0.1185499911
167	0.1180631408
168	0.1175181027
169	0.1170119985
170	0.116768882
171	0.1163014748
172	0.1158735409
173	0.1152964726
174	0.1149185994
175	0.1146048179
176	0.1140621769
177	0.1134313839
178	0.1129701033
179	0.1127238644
180	0.1122472606
181	0.1115896306
182	0.1109940401
183	0.1106095262
184	0.1100180209
185	0.1094224171
186	0.1090858472
187	0.1087189159
188	0.1083979572
189	0.1079475225
190	0.1075915948
191	0.1070759836
192	0.1065992714
193	0.1061116681
194	0.1057379391
195	0.1053903627
196	0.1050412413
197	0.1043103606
198	0.1042553826
199	0.1039420512
200	0.1034095492
201	0.1031676927
202	0.1029067739
203	0.1026246824
204	0.1019586743
205	0.1016857257
206	0.1011945434
207	0.1005791019
208	0.1002423307
209	0.09985677025
210	0.09940507182
211	0.09915029933
212	0.09884077378
213	0.09817771367
214	0.09769970547
215	0.09731566415
216	0.09682636032
217	0.09675324982
218	0.09622064966
219	0.09584691067
220	0.09549872951
221	0.09533013801
222	0.09496275507
223	0.09451243267
224	0.0942319459
225	0.09401509599
226	0.09356717456
227	0.0933314135
228	0.09316459049
229	0.09274501865
230	0.09243453122
231	0.09218520075
232	0.09177733467
233	0.09155104402
234	0.09131834617
235	0.0910409322
236	0.09058107013
237	0.09021333673
238	0.08975294815
239	0.08928999795
240	0.08901161913
241	0.08820498581
242	0.08802247415
243	0.08772316085
244	0.08741084181
245	0.08705784682
246	0.08678325459
247	0.08635803719
248	0.08595361794
249	0.08561511033
250	0.08515828438
251	0.08491245367
252	0.0846091983
253	0.08411758269
254	0.08390770089
255	0.08358143825
256	0.0833870296
257	0.08305235029
258	0.08279031922
